company,industry,year,tier,ai_attributed,ai_evidence,ai_attribution,attribution_quote,source,role_title,soc_code,n_cut_role,aioe_score,aioe_quartile,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,education_level,annual_median_wage,wage_percentile,note
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Recruiting Coordinator,13-1071,6000,1.36005,Q4 (Highest),0.2388002454740718,0.309911015648972,0.1295642835225529,0.2167075790119668,4.466909090909091,72910.0,69.42392909896603,Recruiting org cut 50%; AI screens candidates
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Program Manager,11-3021,3000,1.059853,Q4 (Highest),0.2234188651969642,0.2683050234911456,0.1522949042284062,0.2344777737621973,4.309712789460764,171200.0,99.0768094534712,Management layers reduced; Gemini assists coordination
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Technical Writer,27-3042,1500,1.184001,Q4 (Highest),0.2551193095278389,0.2578270434929768,0.1659333220511084,0.2157725503469284,4.131977711319777,91670.0,82.05317577548006,Documentation increasingly AI-generated
Google / Alphabet,Technology,2023-2024,1,True,Explicit,Explicit,investing in our biggest priorities in AI,Sundar Pichai memo January 2023,Data Analyst,15-2051,1500,,Unknown,,,,,,,,Junior analyst roles absorbed into AI workflows
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Customer Support Representative,43-4051,4000,0.9562519,Q3,0.2216529797332931,0.2942062834325322,0.1671061553529722,0.1935508174489565,2.6916126569161265,42830.0,20.27326440177253,Copilot deployed for tier-1 support; headcount not backfilled
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Marketing Coordinator,13-1161,1000,1.426757,Q4 (Highest),0.2457692604899157,0.2624603971872343,0.1232516807047368,0.2362259485356618,4.573057710750827,76950.0,72.41506646971935,Content and campaign coordination shifted to AI tools
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Sales Operations Specialist,41-3091,3000,,Unknown,,,,,,,,Dynamics 365 Copilot automates pipeline management
Microsoft,Technology,2023,1,True,Explicit,Explicit,aligning our cost structure with our revenue and where we see customer demand,Satya Nadella memo January 2023; Copilot launch same quarter,Consulting Program Manager,13-1082,2000,,Unknown,,,,,,,,Project coordination roles consolidated
Microsoft Round 2,Technology,2025,3,True,Explicit,Explicit,aligning workforce to AI-driven growth priorities,Microsoft workforce announcement May 2025,Consulting Program Manager,13-1082,3000,,Unknown,,,,,,,,Further PM layer reduction as Copilot scales
Microsoft Round 2,Technology,2025,3,True,Explicit,Explicit,aligning workforce to AI-driven growth priorities,Microsoft workforce announcement May 2025,Technical Support Specialist,15-1232,3000,,Unknown,,,,,,,,AI handles increasing share of technical queries
